Dataset,Top_K,ADFNR_Precision,ADFNR_Recall,DASOD_Precision,DASOD_Recall,GCN_Precision,GCN_Recall,GCN-LOF_Precision,GCN-LOF_Recall,NIEOD_Precision,NIEOD_Recall,NMIGOD_Precision,NMIGOD_Recall
iris_Avg,-,0.6761,0.6833,0.4594,0.6444,0.5520,0.6806,0.4659,0.6875,0.6400,0.6667,0.6186,0.7083
mushroom,81,0.0,0.0,-,-,0.7531,0.0894,0.7654,0.0909,0.0,0.0,0.7037,0.0836
mushroom,324,0.2099,0.0798,-,-,0.7315,0.3475,0.7346,0.349,0.1821,0.0692,0.713,0.3387
mushroom,568,0.2289,0.1526,-,-,0.5722,0.4765,0.5915,0.4927,0.1761,0.1174,0.5616,0.4677
mushroom,731,0.186,0.1596,-,-,0.5226,0.5601,0.5431,0.5821,0.1669,0.1432,0.5171,0.5543
mushroom,1624,0.1355,0.2582,-,-,0.42,1.0,0.42,1.0,0.1115,0.2124,0.42,1.0
mushroom,2843,0.1178,0.3932,-,-,0.2399,1.0,0.2399,1.0,0.1087,0.3627,0.2399,1.0
mushroom,3655,0.1253,0.5376,-,-,0.1866,1.0,0.1866,1.0,0.1124,0.4824,0.1866,1.0
mushroom,5686,0.127,0.8474,-,-,0.1199,1.0,0.1199,1.0,0.1254,0.8369,0.1199,1.0
mushroom,8124,0.1049,1.0,-,-,0.0839,1.0,0.0839,1.0,0.1049,1.0,0.0839,1.0
mushroom_Avg,-,0.1373,0.3809,-,-,0.4033,0.7193,0.4094,0.7239,0.1209,0.3582,0.3940,0.7160
nursery,129,0.1395,0.0545,-,-,0.8062,0.3939,0.7674,0.375,0.0,0.0,0.7519,0.3674
nursery,518,0.0965,0.1515,-,-,0.5077,0.9962,0.4846,0.9508,0.0,0.0,0.5058,0.9924
nursery,907,0.0794,0.2182,-,-,0.2911,1.0,0.29,0.9962,0.0,0.0,0.2911,1.0
nursery,1166,0.0866,0.3061,-,-,0.2264,1.0,0.2256,0.9962,0.0,0.0,0.2264,1.0
nursery,2592,0.0748,0.5879,-,-,0.1019,1.0,0.1019,1.0,0.0,0.0,0.1019,1.0
nursery,4536,0.0485,0.6667,-,-,0.0582,1.0,0.0582,1.0,0.0,0.0,0.0582,1.0
nursery,5832,0.0549,0.9697,-,-,0.0453,1.0,0.0453,1.0,0.0,0.0,0.0453,1.0
nursery,9072,0.0359,0.9879,-,-,0.0291,1.0,0.0291,1.0,0.0004,0.0121,0.0291,1.0
nursery,12960,0.0255,1.0,-,-,0.0204,1.0,0.0204,1.0,0.0255,1.0,0.0204,1.0
nursery_Avg,-,0.0713,0.5492,-,-,0.2318,0.9322,0.2247,0.9242,0.0029,0.1125,0.2256,0.9289
parkinsons,1,0.0,0.0,0.0,0.0,1.0,0.0263,1.0,0.0263,0.0,0.0,0.0,0.0
parkinsons,7,0.0,0.0,0.0,0.0,0.8571,0.1579,0.8571,0.1579,0.0,0.0,0.0,0.0
parkinsons,13,0.0,0.0,0.0,0.0,0.9231,0.3158,0.9231,0.3158,0.0,0.0,0.3077,0.1053
parkinsons,17,0.1176,0.0417,0.0,0.0,0.7647,0.3421,0.8235,0.3684,0.0,0.0,0.4706,0.2105
parkinsons,39,0.3846,0.3125,0.0256,0.0208,0.5897,0.6053,0.6154,0.6316,0.1026,0.0833,0.5128,0.5263
parkinsons,68,0.3382,0.4792,0.0441,0.0625,0.4853,0.8684,0.4853,0.8684,0.2647,0.375,0.4265,0.7632
parkinsons,87,0.3103,0.5625,0.1494,0.2708,0.4023,0.9211,0.4253,0.9737,0.2644,0.4792,0.3793,0.8684
parkinsons,136,0.2647,0.75,0.2206,0.625,0.2794,1.0,0.2794,1.0,0.2426,0.6875,0.2721,0.9737
parkinsons,195,0.2462,1.0,0.2462,1.0,0.1949,1.0,0.1949,1.0,0.2462,1.0,0.1949,1.0
parkinsons_Avg,-,0.1846,0.3495,0.0762,0.2199,0.6107,0.5819,0.6227,0.5936,0.1245,0.2917,0.2849,0.4942
raisin,4,0.5,0.05,0.5,0.05,0.75,0.0938,0.75,0.0938,0.5,0.05,0.5,0.0625
raisin,19,0.6842,0.325,0.8421,0.4,0.7368,0.4375,0.6842,0.4062,0.8947,0.425,0.6842,0.4062
raisin,34,0.5294,0.45,0.6765,0.575,0.5882,0.625,0.5294,0.5625,0.6765,0.575,0.6176,0.6562
raisin,44,0.4091,0.45,0.5455,0.6,0.5,0.6875,0.4545,0.625,0.5455,0.6,0.5227,0.7188
raisin,98,0.2959,0.725,0.2755,0.675,0.2551,0.7812,0.2857,0.875,0.3163,0.775,0.2857,0.875
raisin,171,0.193,0.825,0.193,0.825,0.1637,0.875,0.1696,0.9062,0.1988,0.85,0.1754,0.9375
raisin,220,0.1636,0.9,0.1591,0.875,0.1318,0.9062,0.1318,0.9062,0.1545,0.85,0.1364,0.9375
raisin,343,0.1108,0.95,0.1079,0.925,0.0904,0.9688,0.0904,0.9688,0.1108,0.95,0.0904,0.9688
raisin,490,0.0816,1.0,0.0816,1.0,0.0653,1.0,0.0653,1.0,0.0816,1.0,0.0653,1.0
raisin_Avg,-,0.3297,0.6306,0.3757,0.6583,0.3646,0.7083,0.3512,0.7049,0.3865,0.6750,0.3420,0.7292
skin,100,0.0,0.0,0.09,0.0042,0.84,0.0494,0.87,0.0512,0.0,0.0,-,-
skin,400,0.0,0.0,0.0775,0.0146,0.795,0.1872,0.81,0.1907,0.0,0.0,-,-
skin,700,0.0,0.0,0.0443,0.0146,0.7957,0.3278,0.8,0.3296,0.0,0.0,-,-
skin,900,0.0,0.0,0.0344,0.0146,0.7833,0.4149,0.8,0.4238,0.0,0.0,-,-
skin,2000,0.045,0.0424,0.0255,0.024,0.793,0.9335,0.7815,0.92,0.0,0.0,-,-
skin,3500,0.1303,0.2147,0.0257,0.0424,0.4854,1.0,0.4854,1.0,0.1551,0.2556,-,-
skin,4500,0.1736,0.3677,0.1227,0.2599,0.3776,1.0,0.3776,1.0,0.2802,0.5937,-,-
skin,7000,0.2821,0.9298,0.2599,0.8564,0.2427,1.0,0.2427,1.0,0.2894,0.9539,-,-
skin,10000,0.2124,1.0,0.2124,1.0,0.1699,1.0,0.1699,1.0,0.2124,1.0,-,-
skin_Avg,-,0.0937,0.2838,0.0992,0.2479,0.5870,0.6570,0.5930,0.6573,0.1041,0.3115,-,-
student-mat,3,0.3333,0.0345,0.3333,0.0345,0.0,0.0,0.0,0.0,0.3333,0.0345,0.0,0.0
student-mat,15,0.1333,0.069,0.2,0.1034,0.0667,0.0435,0.0,0.0,0.2,0.1034,0.1333,0.087
student-mat,27,0.1111,0.1034,0.1481,0.1379,0.0741,0.087,0.1111,0.1304,0.1481,0.1379,0.1111,0.1304
student-mat,35,0.1143,0.1379,0.1143,0.1379,0.0571,0.087,0.1143,0.1739,0.1429,0.1724,0.1143,0.1739
student-mat,79,0.1266,0.3448,0.1139,0.3103,0.0506,0.1739,0.0886,0.3043,0.1266,0.3448,0.0886,0.3043
student-mat,138,0.0942,0.4483,0.1232,0.5862,0.0725,0.4348,0.0652,0.3913,0.1087,0.5172,0.0725,0.4348
student-mat,177,0.1017,0.6207,0.1073,0.6552,0.0565,0.4348,0.0565,0.4348,0.1073,0.6552,0.0678,0.5217
student-mat,276,0.0942,0.8966,0.1014,0.9655,0.0435,0.5217,0.0435,0.5217,0.0978,0.931,0.058,0.6957
student-mat,395,0.0734,1.0,0.0734,1.0,0.0582,1.0,0.0582,1.0,0.0734,1.0,0.0582,1.0
student-mat_Avg,-,0.1313,0.4061,0.1461,0.4368,0.0532,0.3092,0.0597,0.3285,0.1487,0.4329,0.0782,0.3720
wine,1,0.0,0.0,0.0,0.0,1.0,0.0417,1.0,0.0417,0.0,0.0,1.0,0.0417
wine,6,0.5,0.1,0.5,0.1,0.8333,0.2083,1.0,0.25,0.6667,0.1333,0.6667,0.1667
wine,11,0.5455,0.2,0.3636,0.1333,0.9091,0.4167,0.8182,0.375,0.6364,0.2333,0.6364,0.2917
wine,14,0.5,0.2333,0.3571,0.1667,0.7857,0.4583,0.7857,0.4583,0.6429,0.3,0.7143,0.4167
wine,32,0.5938,0.6333,0.4375,0.4667,0.75,1.0,0.75,1.0,0.6562,0.7,0.75,1.0
wine,56,0.5,0.9333,0.5,0.9333,0.4286,1.0,0.4286,1.0,0.5357,1.0,0.4286,1.0
wine,72,0.4167,1.0,0.4167,1.0,0.3333,1.0,0.3333,1.0,0.4167,1.0,0.3333,1.0
wine,112,0.2679,1.0,0.2679,1.0,0.2143,1.0,0.2143,1.0,0.2679,1.0,0.2143,1.0
wine,160,0.1875,1.0,0.1875,1.0,0.15,1.0,0.15,1.0,0.1875,1.0,0.15,1.0
wine_Avg,-,0.3902,0.5667,0.3367,0.5333,0.6005,0.6806,0.6089,0.6806,0.4456,0.5963,0.5437,0.6574
wine-red,15,0.0667,0.0123,0.0667,0.0123,0.0667,0.0154,0.0667,0.0154,0.0667,0.0123,0.3333,0.0769
wine-red,63,0.0952,0.0741,0.0635,0.0494,0.0159,0.0154,0.0635,0.0615,0.0635,0.0494,0.1905,0.1846
wine-red,111,0.0901,0.1235,0.0901,0.1235,0.045,0.0769,0.0541,0.0923,0.0991,0.1358,0.1171,0.2
wine-red,143,0.0839,0.1481,0.0979,0.1728,0.0559,0.1231,0.042,0.0923,0.1049,0.1852,0.1259,0.2769
wine-red,319,0.0846,0.3333,0.0784,0.3086,0.0596,0.2923,0.0658,0.3231,0.0815,0.321,0.0878,0.4308
wine-red,559,0.0823,0.5679,0.0626,0.4321,0.0483,0.4154,0.0608,0.5231,0.0698,0.4815,0.0662,0.5692
wine-red,719,0.0723,0.642,0.0654,0.5802,0.0487,0.5385,0.0556,0.6154,0.0723,0.642,0.064,0.7077
wine-red,1119,0.0617,0.8519,0.0545,0.7531,0.05,0.8615,0.0474,0.8154,0.0581,0.8025,0.05,0.8615
wine-red,1599,0.0507,1.0,0.0507,1.0,0.0407,1.0,0.0407,1.0,0.0507,1.0,0.0407,1.0
wine-red_Avg,-,0.0764,0.4170,0.0700,0.3813,0.0479,0.3709,0.0552,0.3932,0.0741,0.4033,0.1195,0.4786
wine-white,48,0.1875,0.0248,0.1667,0.022,0.1875,0.031,0.2083,0.0345,0.1458,0.0193,0.3542,0.0586
wine-white,195,0.2103,0.1129,0.1231,0.0661,0.2154,0.1448,0.1846,0.1241,0.1846,0.0992,0.2564,0.1724
wine-white,342,0.193,0.1818,0.1287,0.1212,0.1871,0.2207,0.1813,0.2138,0.1959,0.1846,0.1813,0.2138
wine-white,440,0.1727,0.2094,0.1205,0.146,0.1591,0.2414,0.1591,0.2414,0.1795,0.2176,0.1682,0.2552
wine-white,979,0.1338,0.3609,0.1124,0.303,0.1246,0.4207,0.1297,0.4379,0.1318,0.3554,0.1195,0.4034
wine-white,1714,0.1202,0.5675,0.0998,0.4711,0.0951,0.5621,0.1033,0.6103,0.1155,0.5455,0.1004,0.5931
wine-white,2204,0.1098,0.6667,0.093,0.5647,0.0817,0.6207,0.0935,0.7103,0.1016,0.6171,0.0848,0.6448
wine-white,3428,0.0858,0.8099,0.0855,0.8072,0.0671,0.7931,0.0726,0.8586,0.082,0.7741,0.0726,0.8586
wine-white,4898,0.0741,1.0,0.0741,1.0,0.0592,1.0,0.0592,1.0,0.0741,1.0,0.0592,1.0
wine-white_Avg,-,0.1430,0.4371,0.1115,0.3890,0.1308,0.4483,0.1324,0.4701,0.1345,0.4236,0.1552,0.4667
yeast,11,0.4545,1.0,0.0909,0.2,0.3636,1.0,0.3636,1.0,0.3636,0.8,0.3636,1.0
yeast,45,0.1111,1.0,0.0444,0.4,0.0889,1.0,0.0889,1.0,0.1111,1.0,0.0889,1.0
yeast,79,0.0633,1.0,0.0253,0.4,0.0506,1.0,0.0506,1.0,0.0633,1.0,0.0506,1.0
yeast,102,0.049,1.0,0.0196,0.4,0.0392,1.0,0.0392,1.0,0.049,1.0,0.0392,1.0
yeast,228,0.0219,1.0,0.0175,0.8,0.0175,1.0,0.0175,1.0,0.0219,1.0,0.0175,1.0
yeast,399,0.0125,1.0,0.01,0.8,0.01,1.0,0.01,1.0,0.0125,1.0,0.01,1.0
yeast,513,0.0097,1.0,0.0097,1.0,0.0078,1.0,0.0078,1.0,0.0097,1.0,0.0078,1.0
yeast,798,0.0063,1.0,0.0063,1.0,0.005,1.0,0.005,1.0,0.0063,1.0,0.005,1.0
yeast,1141,0.0044,1.0,0.0044,1.0,0.0035,1.0,0.0035,1.0,0.0044,1.0,0.0035,1.0
yeast_Avg,-,0.0814,1.0000,0.0253,0.6667,0.0651,1.0000,0.0651,1.0000,0.0713,0.9778,0.0651,1.0000
zoo,1,1.0,0.0588,1.0,0.0588,1.0,0.0714,0.0,0.0,1.0,0.0588,0.0,0.0
zoo,4,0.5,0.1176,0.5,0.1176,0.75,0.2143,0.5,0.1429,0.5,0.1176,0.5,0.1429
zoo,7,0.2857,0.1176,0.2857,0.1176,0.8571,0.4286,0.5714,0.2857,0.2857,0.1176,0.7143,0.3571
zoo,9,0.2222,0.1176,0.2222,0.1176,0.6667,0.4286,0.6667,0.4286,0.2222,0.1176,0.7778,0.5
zoo,20,0.3,0.3529,0.45,0.5294,0.7,1.0,0.5,0.7143,0.3,0.3529,0.6,0.8571
zoo,35,0.2,0.4118,0.2571,0.5294,0.4,1.0,0.4,1.0,0.2,0.4118,0.3714,0.9286
zoo,45,0.2222,0.5882,0.2222,0.5882,0.3111,1.0,0.3111,1.0,0.2222,0.5882,0.3111,1.0
zoo,70,0.1571,0.6471,0.1714,0.7059,0.2,1.0,0.2,1.0,0.1571,0.6471,0.2,1.0
zoo,101,0.1683,1.0,0.1683,1.0,0.1386,1.0,0.1386,1.0,0.1683,1.0,0.1386,1.0
zoo_Avg,-,0.3395,0.3791,0.3641,0.4183,0.5582,0.6825,0.3653,0.6191,0.3395,0.3791,0.4015,0.6429
